Видеокарта,Цена,комплектация,область применения,особенности,объем видеопамяти,тип памяти,частота памяти,шина обмена с памятью,частота видеопроцессора,разъемы и интерфейсы,тип подключения,поддержка технологий,разъем дополнительного питания,максимальное разрешение,количество поддерживаемых мониторов,техпроцесс,TDP,SLI/NVLink/CrossFire
"Видеокарта GIGABYTE GeForce RTX 4070 Ti GAMING OC 12GB (GV-N407TGAMING OC-12GD), Retail",93255,Retail,игровая,необходимость дополнительного питания,12288 МБ,GDDR6X,21000 МГц,192 бит,2640 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",16 pin,7680x4320,4,4 нм,285 Вт,
"Видеокарта GIGABYTE GeForce RTX 4090 Gaming OC 24G, GV-N4090GAMING OC-24GD, Retail",180390,Retail,игровая,необходимость дополнительного питания,24576 МБ,GDDR6X,21000 МГц,384 бит,2535 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",16 pin,7680x4320,4,4 нм,,
"Видеокарта Sinotex Ninja Radeon RX 550 4GB (AHRX55045F), Retail",7290,Retail,,,4096 МБ,GDDR5,6000 МГц,128 бит,1071 МГц,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,,,4096x2160,2,14 нм,,
"Видеокарта MSI GeForce RTX 2060 SUPER VENTUS OC 8GB, Bulk",33190,Bulk,игровая,,8192 МБ,GDDR6,14000 МГц,256 бит,1665 МГц,"выход DisplayPort x 3, выход HDMI, интерфейс USB Type-C",PCI Express 3.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin,7680x4320,4,12 нм,175 Вт,
Видеокарта игровая от TERABYTE AMD Radeon RX 580 8Gb GDDR5 Новая,12699,OEM,игровая,"внешняя видеокарта, необходимость дополнительного питания",8192 МБ,GDDR5,7000 МГц,2048 бит,1244 МГц,выход HDMI,PCI Express 3.0,,6 pin,3840x2160,1,150 нм,,
Видеокарта Palit GeForce RTX 3050 8 ГБ (PA-RTX3050 DUAL),23177,,игровая,,8192 МБ,GDDR6,14000 МГц,128 бит,1552 МГц,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 4.0,,8 pin,7680x4320,4,,,
"Видеокарта Palit GeForce GTX 1650 GP OC 4GB (NE61650S1BG1-1175A), Retail",17680,Retail,игровая,,4096 МБ,GDDR6,12000 МГц,128 бит,1410 МГц,"выход DisplayPort, выход DisplayPort x 2, выход HDMI, интерфейс USB Type-C",PCI Express 3.0,,6 pin,7680x4320,3,12 нм,75 Вт,
"Видеокарта MSI GeForce GTX 1660 SUPER VENTUS XS OCV1 6GB, Retail",20600,Retail,игровая,необходимость дополнительного питания,6144 МБ,GDDR6,14000 МГц,192 бит,1815 МГц,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,"поддержка CUDA, поддержка HDCP",8 pin,7680x4320,3,12 нм,125 Вт,
"Видеокарта MSI Radeon RX 550 AERO ITX 4G OC, Retail",10369,Retail,игровая,,4096 МБ,GDDR5,6000 МГц,128 бит,1203 МГц,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,,,7680x4320,3,14 нм,50 Вт,
"Видеокарта AFOX Radeon RX 550 4096Mb ATX Dual Fan (AFRX550-4096D5H4-V6), Retail",7690,Retail,игровая,,4096 МБ,GDDR5,6000 МГц,128 бит,1183 МГц,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,поддержка HDCP,,3840x2160,3,14 нм,,
"Видеокарта MSI GeForce RTX 3070 VENTUS 3X PLUS 8G OC LHR, Retail",52990,Retail,игровая,,8192 МБ,GDDR6,14000 МГц,256 бит,1755 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin + 8 pin,7680x4320,4,8 нм,220 Вт,поддержка NVLink
Видеокарта Palit RTX4080 GAMINGPRO 16GB NED4080019T2-1032A GDDR6X 256bit 3 DP HDMI,99566,Retail,игровая,,16000 МБ,GDDR6X,22400 МГц,256 бит,2205 МГц,"выход DisplayPort, выход DisplayPort x 3, выход HDMI",PCI Express 4.0,поддержка CUDA,16 pin,7680x4320,4,4 нм,320 Вт,
"Видеокарта Palit GeForce RTX 3060 Dual 12 GB (NE63060019K9-190AD), Retail",35409,Retail,игровая,,12288 МБ,GDDR6,15000 МГц,192 бит,1320 МГц,"выход DisplayPort, выход DisplayPort x 3, выход HDMI",PCI Express 4.0,,8 pin,7680x4320,4,8 нм,170 Вт,
"Видеокарта AFOX Radeon RX 560 4GB (AFRX560-4096D5H4-V2), Retail",7709,Retail,игровая,,4096 МБ,GDDR5,7000 МГц,128 бит,1175 МГц,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,поддержка HDCP,,4096x2160,3,14 нм,,
Asus RX 470 Mining Edition 4GB [MINING-RX470-4G] OEM,4999,OEM,игровая,,4096 МБ,GDDR5,7000 МГц,256 бит,926 МГц,выход DVI,PCI Express 3.0,,8 pin,2560x1600,1,14 нм,120 Вт,
"Видеокарта MSI GeForce RTX 3070 Ti GAMING X TRIO 8G, Retail",65499,Retail,игровая,,8192 МБ,GDDR6X,19000 МГц,256 бит,1830 МГц,"выход DisplayPort x 3, выход HDMI, интерфейс USB Type-C",PCI Express 4.0,,8 pin + 8 pin,7680x4320,4,8 нм,310 Вт,
"Видеокарта GIGABYTE GeForce RTX 4080 16GB EAGLE OC (GV-N4080EAGLE OC-16GD), Retail",112013,Retail,игровая,необходимость дополнительного питания,16384 МБ,GDDR6X,22400 МГц,256 бит,2520 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка трассировки лучей",16 pin,7680x4320,4,,,
"Видеокарта Sinotex Ninja Radeon R5 230 1GB (AKR523013F), Retail",2590,Retail,игровая,низкопрофильная карта (Low Profile),1024 МБ,GDDR3,1333 МГц,64 бит,625 МГц,"выход HDMI, выход VGA",PCI Express 2.1,поддержка HDCP,,2560x1600,2,40 нм,20 Вт,
"Видеокарта ASUS GeForce GT730 2GB (GT730-4H-SL-2GD5), Retail",7999,Retail,,пассивное охлаждение,2048 МБ,GDDR5,5010 МГц,64 бит,902 МГц,выход HDMI x 4,PCI Express 2.0,поддержка HDCP,,3840x2160,4,28 нм,,
"Видеокарта Palit GeForce GTX 1650 StormX 4GB (NE51650006G1-1170F), Retail",14778,Retail,игровая,,4096 МБ,GDDR5,8000 МГц,128 бит,1485 МГц,"выход DVI, выход HDMI",PCI Express 3.0,,,4096x2160,2,12 нм,75 Вт,
"Видеокарта GIGABYTE AORUS GeForce RTX 4080 16GB MASTER (GV-N4080AORUS M-16GD), Retail",129499,Retail,игровая,необходимость дополнительного питания,16384 МБ,GDDR6X,22400 МГц,256 бит,2550 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",16 pin,7680x4320,4,4 нм,,
Видеокарта MSI nVidia GeForce RTX 3060 Ti GAMING Z TRIO LHR 8192Mb,50489,,игровая,,8192 МБ,GDDR6,14000 МГц,256 бит,1845 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,поддержка трассировки лучей,8 pin + 8 pin,7680x4320,4,8 нм,,
"Видеокарта MSI GeForce 210 LP 1Gb (N210-1GD3/LP), Retail",1999,Retail,игровая,низкопрофильная карта (Low Profile),1024 МБ,GDDR3,1600 МГц,64 бит,460 МГц,"выход DVI, выход HDMI, выход VGA",PCI Express 2.0,поддержка HDCP,,2560x1600,2,28 нм,,
"Видеокарта Palit GeForce GTX 1080 Ti 1505MHz PCI-E 3.0 11264MB 11000MHz 352 bit DVI HDMI HDCP Super JetStream, Retail",22000,Retail,игровая,,11264 МБ,GDDR5X,11000 МГц,352 бит,1505 МГц,"выход DVI, выход DisplayPort x 3, выход HDMI",PCI Express 3.0,,8 pin + 8 pin,7680x4320,4,16 нм,250 Вт,поддержка SLI/CrossFire
"Видеокарта Colorful GeForce RTX 2060 SUPER NB 8G V2-V, Retail",21900,Retail,игровая,необходимость дополнительного питания,8192 МБ,GDDR6,14000 МГц,256 бит,1470 МГц,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,"поддержка CUDA, поддержка трассировки лучей",8 pin,7680x4320,3,12 нм,175 Вт,
"Видеокарта Palit GeForce GTX 1630 Dual (NE6163001BG6-1175D), Retail",13320,Retail,игровая,необходимость дополнительного питания,4096 МБ,GDDR6,12000 МГц,64 бит,1740 МГц,"выход DisplayPort x 2, выход HDMI",PCI Express 3.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan",6 pin,7680x4320,3,12 нм,75 Вт,
"Видеокарта GIGABYTE AORUS GeForce RTX 3060 Ti ELITE 8G (GV-N306TAORUS E-8GD) rev. 2.0, Retail",50642,Retail,игровая,,8192 МБ,GDDR6,14000 МГц,256 бит,1785 МГц,"выход DisplayPort x 2, выход HDMI x 2, интерфейс USB Type-C",PCI Express 4.0,,8 pin + 6 pin,7680x4320,4,8 нм,,
"Видеокарта ZOTAC GAMING GeForce RTX 3070 Twin Edge OC White Edition LHR 8GB (ZT-A30700J-10PLHR), Retail",61629,Retail,игровая,,8192 МБ,GDDR6,14000 МГц,256 бит,1755 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,,8 pin + 8 pin,7680x4320,4,8 нм,220 Вт,
"Видеокарта GIGABYTE GeForce RTX 3060 EAGLE OC 12G (GV-N3060EAGLE OC-12GD) (rev. 2.0), Retail",34576,Retail,игровая,Low Hash Rate,12288 МБ,GDDR6,15000 МГц,192 бит,1807 МГц,"выход DisplayPort x 2, выход HDMI, выход HDMI x 2, интерфейс USB Type-C",PCI Express 4.0,поддержка CUDA,8 pin,7680x4320,4,8 нм,,
"Видеокарта GIGABYTE AORUS GeForce RTX 3070 Ti MASTER 8G (GV-N307TAORUS M-8GD), Retail",62032,Retail,игровая,необходимость дополнительного питания,8192 МБ,GDDR6X,19000 МГц,256 бит,1875 МГц,"выход DisplayPort x 3, выход HDMI x 3, интерфейс USB Type-C",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin+8 pin+6 pin,7680x4320,4,8 нм,,
"Видеокарта GIGABYTE GeForce GT 710 2GB (GV-N710D5-2GIL), Retail",6130,Retail,игровая,,2048 МБ,GDDR5,5010 МГц,64 бит,954 МГц,"выход DVI, выход HDMI, выход VGA",PCI Express 2.0,,,4096x2160,3,28 нм,,
"Видеокарта MSI GeForce RTX 3060 Ti VENTUS 2X 8G OC V1 LHR, Retail",41161,Retail,игровая,Активное охлаждение,8192 МБ,GDDR6,14000 МГц,256 бит,1695 МГц,"выход DisplayPort, выход DisplayPort x 3, выход HDMI, интерфейс USB Type-C",PCI Express 4.0,поддержка трассировки лучей,8 pin,7680x4320,4,8 нм,200 Вт,
"Видеокарта ASUS Radeon RX 560 1176MHz PCI-E 3.0 4096MB 7000MHz 128 bit DVI HDMI HDCP, Retail",12760,Retail,игровая,,4096 МБ,GDDR5,7000 МГц,128 бит,1176 МГц,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,,6 pin,7680x4320,3,14 нм,,поддержка SLI/CrossFire
"Видеокарта MSI GeForce GTX 1650 D6 GAMING X 4 GB, Retail",19990,Retail,игровая,необходимость дополнительного питания,4096 МБ,GDDR6,12000 МГц,128 бит,1710 МГц,"выход DisplayPort x 2, выход DisplayPort x 3, выход HDMI",PCI Express 3.0,"поддержка CUDA, поддержка HDCP",6 pin,7680x4320,3,12 нм,85 Вт,
"Видеокарта Palit GeForce GTX 1660 SUPER GP 6GB (NE6166S018J9-1160A-1), Retail",21490,Retail,игровая,,6144 МБ,GDDR6,14000 МГц,192 бит,1530 МГц,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,,8 pin,7680x4320,3,12 нм,125 Вт,
"Видеокарта GIGABYTE Arc A380 GAMING OC 6GB, GV-IA380GAMING OC-6GD, Retail",15665,Retail,игровая,необходимость дополнительного питания,6144 МБ,GDDR6,15500 МГц,96 бит,2000 МГц,"выход DisplayPort x 2, выход HDMI x 2",PCI Express 4.0,"поддержка Vulkan, поддержка трассировки лучей",6 pin,7680x4320,4,6 нм,75 Вт,
Sapphire Pulse 6600 OEM 8GB GDDR6 HDMI/DP,19500,OEM,игровая,необходимость дополнительного питания,8192 МБ,GDDR6,1750 МГц,128 бит,2044 МГц,"выход DisplayPort, выход HDMI",PCI Express 4.0,"поддержка HDCP, поддержка Vulkan",8 pin,7680x4320,2,7 нм,140 Вт,
"Видеокарта Peladn AMD Radeon RX 580 8G (RX580, GDDR5)",9405,Retail,игровая,необходимость дополнительного питания,8192 МБ,GDDR5,8000 МГц,256 бит,1244 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 3.0,"поддержка HDCP, поддержка Vulkan",6 pin,4096x2160,3,14 нм,130 Вт,
"Видеокарта Sinotex Ninja Radeon R9 370 4GB (AHR937045F), Retail",9629,Retail,,,4096 МБ,GDDR5,5400 МГц,256 бит,860 МГц,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,поддержка HDCP,6 pin,3840x2160,3,28 нм,,
"Видеокарта GIGABYTE GeForce GT 1030 Low Profile 2G (GV-N1030D5-2GL), Retail",15113,Retail,игровая,низкопрофильная карта (Low Profile),2048 МБ,GDDR5,6008 МГц,64 бит,1252 МГц,"выход DVI, выход HDMI",PCI Express 3.0,,,4096x2160,2,14 нм,30 Вт,
"Видеокарта AFOX GeForce GT 610 2 GB (AF610-2048D3L7-V5), Retail",3190,Retail,игровая,,2048 МБ,GDDR3,1330 МГц,64 бит,810 МГц,"выход DVI, выход HDMI, выход VGA, PCI-E",PCI Express 2.0,"поддержка CUDA, поддержка HDCP",,2560x1600,2,40 нм,29 Вт,
"Видеокарта MSI GeForce GTX 1050 2G OC, Retail",10500,Retail,игровая,,2048 МБ,GDDR5,7008 МГц,128 бит,1404 МГц,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,,,7680x4320,3,14 нм,75 Вт,
"Видеокарта MSI GeForce RTX 3050 VENTUS 2X 8G OC, Retail",27390,Retail,игровая,необходимость дополнительного питания,8192 МБ,GDDR6,14000 МГц,128 бит,1807 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin,7680x4320,4,8 нм,130 Вт,
"Видеокарта Palit GeForce GTX 1070 1556MHz PCI-E 3.0 8192MB 8000MHz 256 bit DVI HDMI HDCP, Retail",15490,Retail,игровая,,8192 МБ,GDDR5,8000 МГц,256 бит,1556 МГц,"выход DVI, выход DisplayPort x 3, выход HDMI",PCI Express 3.0,,8 pin,7680x4320,4,16 нм,150 Вт,
"Видеокарта Sinotex Ninja GeForce GT 610 2GB (NK61NP023F), Retail",3454,Retail,,низкопрофильная карта (Low Profile),2048 МБ,DDR3,1333 МГц,64 бит,810 МГц,"выход DVI, выход HDMI, выход VGA",PCI Express 3.0,,,2560x1600,2,40 нм,29 Вт,
"Видеокарта ASUS GeForce GTX 1080 1632MHz PCI-E 3.0 8192MB 10010MHz 256 bit DVI 2xHDMI HDCP, Retail",17900,Retail,игровая,,8192 МБ,GDDR5X,10010 МГц,256 бит,1632 МГц,"выход DVI, выход DisplayPort x 2, выход HDMI x 2",PCI Express 3.0,,8 pin + 6 pin,7680x4320,4,16 нм,180 Вт,
"Видеокарта KFA2 GeForce RTX 3060 EX (1-Click OC) 12 GB (36NOL7MD2NEK), Retail",34840,Retail,игровая,,12288 МБ,GDDR6,,192 бит,1807 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка Vulkan, поддержка трассировки лучей",8 pin,7680x4320,4,8 нм,,
"Видеокарта GIGABYTE AORUS Radeon RX 580 (GV-RX580AORUS-8GD), Retail",12999,Retail,игровая,,8192 МБ,GDDR5,8000 МГц,256 бит,1365 МГц,"выход DVI, выход DisplayPort x 3, выход HDMI",PCI Express 3.0,,8 pin,7680x4320,5,14 нм,185 Вт,
"Видеокарта ASUS ROG Strix Radeon RX570 OC 4GB (ROG-STRIX-RX570-O4G-GAMING), Retail",7190,Retail,игровая,,4096 МБ,GDDR5,7000 МГц,256 бит,1300 МГц,"выход DVI x 2, выход DisplayPort, выход HDMI",PCI Express 3.0,,8 pin,7680x4320,4,14 нм,,
"Видеокарта MSI GeForce RTX 3060 Ti GAMING X 8G LHR, Retail",43500,Retail,игровая,,8192 МБ,GDDR6,14000 МГц,256 бит,1770 МГц,"выход DisplayPort, выход DisplayPort x 3, выход HDMI, интерфейс USB Type-C",PCI Express 4.0,,8 pin + 6 pin,7680x4320,4,8 нм,220 Вт,
"Видеокарта AFOX GeForce GT 210 1GB (AF210-1024D2LG2), Retail",2390,Retail,,,1024 МБ,GDDR2,400 МГц,64 бит,459 МГц,"выход DVI, выход HDMI, выход VGA, PCI-E",PCI Express 2.0,поддержка CUDA,,2560x1600,2,40 нм,31 Вт,
"Видеокарта Palit GeForce RTX 2060 GamingPro 6GB (NE62060018J9-1062A), Retail",19590,Retail,игровая,,6144 МБ,GDDR6,14000 МГц,192 бит,1365 МГц,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,,8 pin,7680x4320,3,12 нм,160 Вт,
"Видеокарта MSI GeForce GTX 1660 SUPER Gaming X 6GB, Retail",23180,Retail,игровая,необходимость дополнительного питания,6144 МБ,GDDR6,14000 МГц,192 бит,1830 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 3.0,поддержка CUDA,8 pin,7680x4320,4,12 нм,125 Вт,
"Видеокарта MSI GeForce RTX 3070 VENTUS 2X 8G OC LHR, Retail",35990,Retail,игровая,,8192 МБ,GDDR6,14000 МГц,256 бит,1500 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP",8 pin + 8 pin,7680x4320,4,8 нм,220 Вт,
Видеокарта Palit RTX4070Ti GAMINGPRO 12GB GDDR6X 192bit 3-DP HDMI RTL,92796,Retail,игровая,,12000 МБ,GDDR6X,21000 МГц,192 бит,2310 МГц,"выход DisplayPort, выход HDMI",PCI Express 4.0,NVIDIA CUDA,16 pin,7680x4320,4,,285 Вт,
"Видеокарта GIGABYTE GeForce GTX 1660 SUPER GAMING OC 6G (GV-N166SGAMING OC-6GD), Retail",17790,Retail,игровая,,6144 МБ,GDDR6,14000 МГц,192 бит,1860 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 3.0,,8 pin,7680x4320,4,12 нм,,
Видеокарта Nvidia GeForce RTX 2060 Super 8Gb GDDR6 256bit dual fan (DP 3/ hdmi 1),19990,OEM,игровая,,,GDDR6,,256 бит,,"выход DisplayPort x 3, выход HDMI",PCI Express 3.0,"поддержка CUDA, поддержка трассировки лучей",8 pin,7680 х 4320,4,12 нм,,
"Видеокарта GIGABYTE GeForce GTX 1080 Ti 1632MHz PCI-E 3.0 11264MB 11448MHz 352 bit DVI 3xHDMI HDCP Aorus Xtreme Edition, Retail",27650,Retail,игровая,,11264 МБ,GDDR5X,11448 МГц,352 бит,1632 МГц,"выход DVI, выход DisplayPort x 3, выход HDMI x 3",PCI Express 3.0,,8 pin + 8 pin,7680x4320,4,16 нм,250 Вт,поддержка SLI/CrossFire
"Видеокарта GIGABYTE GeForce GTX 1660 SUPER D6 6G, GV-N166SD6-6GD, Retail",21200,Retail,игровая,необходимость дополнительного питания,6144 МБ,GDDR6,14000 МГц,192 бит,1530 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 3.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan",8 pin,7680x4320,4,12 нм,125 Вт,
"Видеокарта Sinotex Ninja GeForce GT 740 2GB (NH74NP025F), Retail",5159,Retail,,,2048 МБ,GDDR5,5000 МГц,128 бит,1100 МГц,"выход DVI, выход HDMI, выход VGA",PCI Express 3.0,,,4096x2160,3,28 нм,64 Вт,
"Видеокарта MSI GEFORCE GTX 1060 ARMOR 6G OCV1, Retail",12000,Retail,игровая,,6144 МБ,GDDR5,8008 МГц,192 бит,1544 МГц,"выход DVI, выход DisplayPort x 2, выход HDMI x 2",PCI Express 3.0,,8 pin,7680x4320,4,16 нм,120 Вт,
"Видеокарта AFOX Radeon RX 550 4GB (AFRX550-4096D5H4), Retail",7490,Retail,,,4096 МБ,GDDR5,6000 МГц,128 бит,1090 МГц,"выход DVI, выход DisplayPort, выход HDMI, выход VGA",,,,7680x4320,3,14 нм,50 Вт,
Видеокарта GeForce-GT210-Graphic 512 MB,1800,OEM,игровая,низкопрофильная карта (Low Profile),512 МБ,DDR3,1600 МГц,64 бит,550 МГц,выход HDMI,PCI Express 2.0,поддержка CUDA,8 pin,2560x1600,3,40 нм,,поддержка SLI/CrossFire
"Видеокарта GIGABYTE GeForce GTX 1660 SUPER OC 6G, GV-N166SOC-6GD, Retail",22100,Retail,игровая,необходимость дополнительного питания,6144 МБ,GDDR6,14000 МГц,192 бит,1830 МГц,"выход DisplayPort x 3, выход HDMI, интерфейс USB Type-C",PCI Express 3.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan",8 pin,7680x4320,4,12 нм,125 Вт,
"Видеокарта Biostar GeForce GT1030 4Gb (VN1034TB46), Retail",9500,Retail,,,4096 МБ,GDDR4,1152 МГц,64 бит,2100 МГц,"выход DVI, выход HDMI",PCI Express 3.0,"поддержка HDCP, поддержка Vulkan",,7680x4320,2,,,
"Видеокарта AFOX Geforce GT730 4GB (AF730-4096D5H5), Retail",6426,Retail,игровая,низкопрофильная карта (Low Profile),4096 МБ,GDDR5,3400 МГц,128 бит,700 МГц,"выход DVI, выход HDMI, выход VGA",PCI Express 2.0,поддержка HDCP,,4096x2160,2,40 нм,23 Вт,
Видеокарта MSI GeForce GT 430 700Mhz PCI-E 2.0 4096Mb 1000Mhz 64 bit DVI HDMI HDCP,3580,,,,4096 МБ,GDDR3,1000 МГц,128 бит,700 МГц,выход HDMI,PCI Express 2.0,,,,,,,
"Видеокарта AFOX GeForce GT 730 4GB (AF730-4096D3L6), Retail",4457,Retail,игровая,"необходимость дополнительного питания, низкопрофильная карта (Low Profile)",4096 МБ,"DDR3, GDDR3",1333 МГц,128 бит,700 МГц,"выход DVI, выход HDMI, выход VGA, DVI-D, PCI",PCI Express 2.0,"поддержка CUDA, поддержка HDCP",,2560x1600,3,40 нм,23 Вт,
Видеокарта Palit PCI-E PA-GTX1050Ti StormX 4G NV GTX1050TI 4096Mb 128 GDDR5 1290/7000 DVIx1/HDMIx1/D,9190,OEM,игровая,,4096 МБ,GDDR5,7000 МГц,128 бит,1290 МГц,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,,,4096x2160,3,14 нм,75 Вт,
"Видеокарта ASUS Turbo GeForce GTX 1070 8GB, Retail",14890,Retail,игровая,,8192 МБ,GDDR5,8008 МГц,256 бит,1506 МГц,"выход DVI, выход DisplayPort x 2, выход HDMI x 2",PCI Express 3.0,,8 pin,7680x4320,4,16 нм,150 Вт,поддержка SLI/CrossFire
"Видеокарта MSI GeForce GT 1030 AERO ITX 2GD4 OC, Retail",7739,Retail,игровая,,2048 МБ,GDDR4,2100 МГц,64 бит,1430 МГц,"выход DVI, выход HDMI",PCI Express 3.0,,,4096x2160,2,14 нм,20 Вт,
"Видеокарта ASUS GeForce GTX 1070 Ti 1607MHz PCI-E 3.0 8192MB 8008MHz 256 bit DVI 2xHDMI HDCP Strix Gaming Advanced edition, Retail",17500,Retail,игровая,необходимость дополнительного питания,8192 МБ,GDDR5,8008 МГц,256 бит,1607 МГц,"выход DVI, выход DisplayPort x 2, выход HDMI x 2",PCI Express 3.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan",8 pin,7680x4320,4,16 нм,180 Вт,поддержка SLI/CrossFire
"Видеокарта ASRock AMD Radeon RX 6600 XT Challenger D 8GB OC (RX6600XT CLD 8GO), Retail",31989,Retail,игровая,необходимость дополнительного питания,8192 МБ,GDDR6,16000 МГц,128 бит,2000 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка HDCP, поддержка Vulkan",8 pin,7680x4320,4,7 нм,160 Вт,
"Видеокарта GIGABYTE GeForce RTX 3050 EAGLE OC 8G, GV-N3050EAGLE OC-8GD, Retail",26841,Retail,игровая,"Low Hash Rate, необходимость дополнительного питания",8192 МБ,GDDR6,14000 МГц,128 бит,1552 МГц,"выход DisplayPort x 2, выход HDMI x 2",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin,7680x4320,4,8 нм,130 Вт,
"Видеокарта GIGABYTE GeForce RTX 3050 EAGLE OC 8G, GV-N3050EAGLE OC-8GD, Retail",26841,Retail,игровая,"Low Hash Rate, необходимость дополнительного питания",8192 МБ,GDDR6,14000 МГц,128 бит,1552 МГц,"выход DisplayPort x 2, выход HDMI x 2",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin,7680x4320,4,8 нм,130 Вт,
"Видеокарта GIGABYTE Radeon RX 6800 GAMING OC 16GB (GV-R68GAMING OC-16GD), Retail",54171,Retail,,,16384 МБ,GDDR6,16000 МГц,256 бит,2155 МГц,"выход DisplayPort x 2, выход HDMI, выход HDMI x 2",PCI Express 4.0,,8 pin + 8 pin,7680x4320,4,7 нм,250 Вт,
"Видеокарта AFOX GeForce 210 512Mb (AF210-512D3L3-V2), Retail",2460,Retail,,необходимость дополнительного питания,512 МБ,GDDR3,1600 МГц,64 бит,550 МГц,"выход DVI, выход HDMI, выход VGA",PCI Express 2.0,"поддержка CUDA, поддержка HDCP",,2560x1600,3,40 нм,,
"Видеокарта Sapphire NITRO+ RX 6700 XT 12Gb Gaming (11306-01-20G), Retail",34900,Retail,игровая,,12288 МБ,GDDR6,16000 МГц,192 бит,2548 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,,8 pin + 6 pin,7680x4320,4,7 нм,260 Вт,
"Видеокарта PowerColor Radeon RX 6600 Fighter 8GB (AXRX 6600 8GBD6-3DH), OEM",26872,OEM,игровая,необходимость дополнительного питания,8192 МБ,GDDR6,14000 МГц,128 бит,1626 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,поддержка Vulkan,8 pin,7680x4320,4,7 нм,132 Вт,
"Видеокарта GIGABYTE GeForce RTX 3080 GAMING OC 10G (GV-N3080GAMING OC-10GD rev. 2.0), Retail",81270,Retail,игровая,,10240 МБ,GDDR6X,19000 МГц,320 бит,1800 МГц,"выход DisplayPort, выход DisplayPort x 3, выход HDMI x 2, интерфейс USB Type-C",PCI Express 4.0,поддержка трассировки лучей,8 pin + 8 pin,7680x4320,4,8 нм,320 Вт,
MAXSUN GeForce RTX 2060 SUPER 8 ГБ (GeForce RTX2060 Super iCraft 8G),24990,Retail,игровая,,8192 МБ,GDDR6,1750 МГц,256 бит,1470 МГц,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin,,,12 нм,175 Вт,
MAXSUN GeForce RTX 2060 SUPER 8 ГБ (GeForce RTX2060 Super iCraft 8G),24990,Retail,игровая,,8192 МБ,GDDR6,1750 МГц,256 бит,1470 МГц,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin,,,12 нм,175 Вт,
