Видеокарта,Цена,комплектация,область применения,особенности,объем видеопамяти,тип памяти,частота памяти,шина обмена с памятью,частота видеопроцессора,разъемы и интерфейсы,тип подключения,поддержка технологий,разъем дополнительного питания,максимальное разрешение,количество поддерживаемых мониторов,техпроцесс,TDP,SLI/NVLink/CrossFire
"Видеокарта Sapphire NITRO+ Radeon RX 6750 XT 12GB (11318-01-20G), Retail",48700,Retail,,необходимость дополнительного питания,12288 МБ,GDDR6,18000 МГц,192 бит,2623 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка HDCP, поддержка Vulkan",8 pin + 6 pin,7680x4320,4,7 нм,273 Вт,
Видеокарта Afox GT610 LP 1GB DDR3 64BIT DVI HDMI VGA SINGLE FAN RETAIL PACK (784528),2890,,,,1024 МБ,DDR3,1333 МГц,64 бит,810 МГц,"выход DVI, выход HDMI, выход VGA",,,,,,,,
"Видеокарта MSI GeForce RTX 2060 VENTUS 12G OC, Retail",44946,Retail,игровая,необходимость дополнительного питания,12288 МБ,GDDR6,14000 МГц,192 бит,1680 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 3.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin,7680x4320,4,12 нм,184 Вт,
Видеокарта Gainward RTX3070Ti PHANTOM 8GB GDDR6X 256bit 3-DP HDMI RTL,56980,Retail,игровая,,8000 МБ,GDDR6X,19000 МГц,256 бит,1575 МГц,"выход DisplayPort, выход HDMI",PCI Express 4.0,NVIDIA CUDA,8 pin + 8 pin,7680x4320,4,8 нм,290 Вт,
"Видеокарта Gainward GeForce RTX 3070 Phantom+ 8GB (NE63070019P2-1040M), Retail",52650,Retail,игровая,необходимость дополнительного питания,8192 МБ,GDDR6,14000 МГц,256 бит,1500 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,,8 pin + 8 pin,7680x4320,4,8 нм,,
"Видеокарта GIGABYTE GeForce RTX 3060 Ti GAMING OC 8G (GV-N306TGAMING OC-8GD 2.0) (rev. 2.0), Retail",89990,Retail,игровая,"Low Hash Rate, необходимость дополнительного питания",8192 МБ,GDDR6,14000 МГц,256 бит,1740 МГц,"выход DisplayPort x 2, выход HDMI, выход HDMI x 2, интерфейс USB Type-C",PCI Express 4.0,"поддержка CUDA, поддержка Vulkan, поддержка трассировки лучей",8 pin,7680x4320,4,8 нм,200 Вт,
"Видеокарта Asus tuf-rtx4090-O24G-gaming /RTX4090, HDMI*2, DP*3,24G, D6X (90YV0IE0-M0NA00)",183476,Retail,игровая,,24576 МБ,GDDR6X,21000 МГц,384 бит,2595 МГц,"выход DisplayPort, выход DisplayPort x 3, выход HDMI, выход HDMI x 2",PCI Express 4.0,,16 pin,7680x4320,4,4 нм,,
"Видеокарта ASUS TUF Gaming GeForce RTX 3070 Ti OC Edition 8GB (TUF-RTX3070TI-O8G-GAMING), Retail",82369,Retail,игровая,,8192 МБ,GDDR6X,19000 МГц,256 бит,1785 МГц,"выход DisplayPort x 3, выход HDMI x 2, интерфейс USB Type-C",PCI Express 4.0,,8 pin + 8 pin,7680x4320,4,8 нм,290 Вт,
"Видеокарта MSI GeForce RTX 3060 Ti VENTUS 3X 8G OC LHR, Retail",43077,Retail,игровая,"Low Hash Rate, необходимость дополнительного питания",8192 МБ,GDDR6,14000 МГц,256 бит,1410 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin,7680x4320,4,8 нм,200 Вт,
"Видеокарта MSI GeForce RTX 3070 VENTUS 3X 8G OC LHR, Retail",109900,Retail,игровая,,8192 МБ,GDDR6,14000 МГц,256 бит,1755 МГц,"выход DisplayPort x 3, выход HDMI, интерфейс USB Type-C",PCI Express 4.0,,8 pin + 8 pin,7680x4320,4,8 нм,220 Вт,
"Видеокарта Sapphire NITRO+ Radeon RX 6800 XT SE 16GB (11304-01-20G), Retail",68500,Retail,игровая,,16384 МБ,GDDR6,16000 МГц,256 бит,2110 МГц,"выход DisplayPort x 2, выход HDMI, интерфейс USB Type-C",PCI Express 4.0,,8 pin + 8 pin,7680x4320,4,7 нм,350 Вт,
"Видеокарта MSI Radeon RX 6700 XT MECH 2X 12G, Retail",45290,Retail,игровая,,12288 МБ,GDDR6,,192 бит,,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,,8 pin + 8 pin,7680x4320,4,7 нм,,
Видеокарта Ninja GT210 512M 64bit DDR3 DVI HDMI CRT PCIE,1990,,,низкопрофильная карта (Low Profile),512 МБ,DDR3,,64 бит,,"выход DVI, выход HDMI",PCI Express 2.0,,,2560x1600,3,,,
Видеокарта Sapphire PULSE Radeon RX 550 2GB (11268-01-20G),5500,,,,,,,,,,,,,,,,,
Видеокарта GTX 1660 Gigabyte OC 6G,20500,,игровая,,6144 МБ,GDDR5,,192 бит,,,PCI Express 3.0,,,,,12 нм,,
"Видеокарта ASUS Phoenix GeForce GTX 1650 OC 4GB (PH-GTX1650-O4G), Retail",17350,Retail,игровая,,4096 МБ,GDDR5,8002 МГц,128 бит,1485 МГц,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,"поддержка CUDA, поддержка HDCP",,7680x4320,3,12 нм,,
Видеокарта ZOTAC GeForce RTX 2060 6 ГБ (RTX2060-6GD6),20800,,игровая,,6000 МБ,GDDR6,14000 МГц,192 бит,1365 МГц,,PCI Express 3.0,,,,,12 нм,,
Видеокарта MSI GeForce RTX 3060 Ti AERO ITX 8G OC LHR,37044,,игровая,,8192 МБ,GDDR6,,256 бит,,,PCI Express 4.0,,,7680x4320,4,8 нм,,
Видеокарта Gigabyte RX480-8GB,10999,OEM,,,8192 МБ,GDDR5,,,,выход DisplayPort x 3,,,,7680x4320,,,,
"Видеокарта MSI GeForce RTX 4090 VENTUS 3X 24G OC, Retail",162577,Retail,игровая,,24576 МБ,GDDR6X,21000 МГц,384 бит,2235 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,поддержка трассировки лучей,16 pin,7680x4320,4,5 нм,450 Вт,
Плата видеокарты MSI GeForce 9800GT 512MB,300₽,,,,512 МБ,,,,,,,,,,,,,
"Видеокарта ASUS GeForce RTX 3070 8192Mb, Dual 8G-V2 LHR (Dual-RTX3070-8G-V2) 2xHDMI, 3xDP, Ret",47660,,игровая,Low Hash Rate,8192 МБ,GDDR6,14000 МГц,256 бит,1725 МГц,"выход DisplayPort x 3, выход HDMI, выход HDMI x 2, интерфейс USB Type-C",PCI Express 4.0,"поддержка CUDA, поддержка трассировки лучей",8 pin + 8 pin,7680x4320,4,8 нм,240 Вт,
"Видеокарта AFOX GeForce 210 1 GB (AF210-1024D3L5), Retail",2908,Retail,,,1024 МБ,GDDR3,1040 МГц,64 бит,450 МГц,"выход DVI, выход HDMI, выход VGA",PCI Express 2.0,,,2560x1600,2,40 нм,,
Видеокарта 8 Gb MSI GeForce RTX 3070 VENTUS 3X 8G OC LHR,158000,Retail,игровая,Low Hash Rate,8192 МБ,GDDR6,14000 МГц,256 бит,1500 МГц,"выход DisplayPort, выход HDMI x 3",PCI Express 4.0,"поддержка CUDA, поддержка HDCP",8 pin + 8 pin,7680x4320,,8 нм,,
"Видеокарта PowerColor Radeon R9 270X 1030Mhz PCI-E 3.0 2048Mb 5600Mhz 256 bit 2xDVI HDMI HDCP TurboDuo, Ресейл",7485,,,,2048 МБ,GDDR5,5600 МГц,256 бит,1030 МГц,выход HDMI,PCI Express 3.0,,6 pin + 6 pin,4096x2160,4,28 нм,,
"Видеокарта AFOX Radeon R5 230 1GB (AFR5230-1024D3L9-V2), Retail",2690,Retail,,,1024 МБ,GDDR3,1333 МГц,64 бит,625 МГц,"выход DVI, выход HDMI, выход VGA",,,,2560x1600,2,40 нм,20 Вт,
"Видеокарта PNY Quadro RTX 8000 48GB (VCQRTX8000STU-PB), Retail",585764,Retail,профессиональная,,49152 МБ,GDDR6,14000 МГц,384 бит,1395 МГц,"выход DisplayPort x 4, интерфейс USB Type-C",PCI Express 3.0,,8 pin + 6 pin,7680x4320,4,12 нм,295 Вт,
"Видеокарта PowerColor Hellhound Spectral White Radeon RX 6650 XT 8GB (AXRX 6650 XT 8GBD6-3DHLV2/OC), Retail",31749,Retail,,необходимость дополнительного питания,8192 МБ,GDDR6,17500 МГц,128 бит,2689 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка HDCP, поддержка Vulkan",8 pin,7680x4320,4,,,
