Видеокарта,Цена,комплектация,область применения,объем видеопамяти,тип памяти,шина обмена с памятью,разъемы и интерфейсы,техпроцесс,тип подключения,TDP,разъем дополнительного питания,максимальное разрешение,количество поддерживаемых мониторов,поддержка технологий,особенности,частота памяти,частота видеопроцессора,SLI/NVLink/CrossFire
"Видеокарта ASUS RTX 4080 TUF OC 16GB (90YV0IB0-M0NA00), Retail",119990,Retail,игровая,16384 МБ,GDDR6X,256 бит,"выход DisplayPort x 3, выход HDMI x 2",4 нм,PCI Express 4.0,320 Вт,16 pin,7680x4320,4,"поддержка CUDA, поддержка HDCP",необходимость дополнительного питания,22400 МГц,2625 МГц,
Видеокарта ASUS TUF-GTX1650-O4GD6-P-V2-GAMING (90YV0GX2-M0NA00),20783,Retail,,,GDDR6,128 бит,"выход DVI, выход DisplayPort, выход HDMI",,PCI Express 3.0,,6 pin,7680x4320,3,,,12000 МГц,1410 МГц,
"Видеокарта Sinotex Ninja RTX 3060 12GB (NK306F126F), Retail",33477,Retail,игровая,12288 МБ,GDDR6,192 бит,"выход DisplayPort x 3, выход HDMI",8 нм,PCI Express 4.0,,8 pin,7680x4320,4,"поддержка CUDA, поддержка HDCP, поддержка Vulkan",необходимость дополнительного питания,15000 МГц,1320 МГц,
Видеокарта Palit GeForce GT 1030 NEC103000646-1082F PCI-E 2048Mb 64 Bit OEM,12198,,игровая,2048 МБ,GDDR4,64 бит,"выход DVI, выход HDMI",,PCI Express 3.0,,,4096x2160,2,,,,1151 МГц,
"Видеокарта MSI GeForce RTX 4070 Ti VENTUS 3X 12GB OC, Retail",93920,Retail,игровая,12288 МБ,GDDR6X,192 бит,"выход DisplayPort x 3, выход HDMI",4 нм,PCI Express 4.0,285 Вт,16 pin,7680x4320,4,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",необходимость дополнительного питания,21000 МГц,2655 МГц,
Видеокарта MSI PCI-E 4.0 RTX 4080 16GB VENTUS 3X OC NVIDIA GeForce RTX 4080 16384Mb 256 GDDR6X 2535/22400 HDMIx1 DPx3 HDCP Ret,125202,Retail,игровая,16384 МБ,GDDR6X,256 бит,"выход DisplayPort x 3, выход HDMI",4 нм,PCI Express 4.0,320 Вт,16 pin,7680x4320,4,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",необходимость дополнительного питания,22400 МГц,2535 МГц,
"Видеокарта GIGABYTE AORUS Radeon RX 7900 XTX ELITE 24G (GV-R79XTXAORUS E-24GD), Retail",113436,Retail,профессиональная,24576 МБ,GDDR6X,384 бит,"выход DisplayPort x 2, выход HDMI x 2",5 нм,PCI Express 4.0,,8 pin+8 pin+8 pin,7680x4320,4,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",необходимость дополнительного питания,20000 МГц,2510 МГц,
"Видеокарта GIGABYTE GeForce GTX 1080 Ti 1506MHz PCI-E 3.0 11264MB 11010MHz 352 bit HDMI HDCP Turbo, OEM",21800,OEM,игровая,11264 МБ,GDDR5X,352 бит,"выход DisplayPort x 3, выход HDMI",16 нм,PCI Express 3.0,250 Вт,8 pin + 6 pin,7680x4320,4,,,11010 МГц,1506 МГц,поддержка SLI/CrossFire
Видеокарта XFX SWFT319 AMD RX 6900XT CORE 16GB GDDR6 256bit HDMI 3xDP (RX-69XTAQFD9) RTL,75100,,игровая,16384 МБ,GDDR6,256 бит,"выход DisplayPort x 3, выход HDMI",7 нм,PCI Express 4.0,,8 pin + 8 pin,4096x2160,,,,16000 МГц,,
"Видеокарта INNO3D GeForce GTX 1650 TWIN X2 OC V2 4GB (N16502-04D6X-1720VA30), Retail",16777,Retail,,4096 МБ,GDDR6,128 бит,"выход DVI, выход DisplayPort, выход HDMI",12 нм,PCI Express 3.0,75 Вт,6 pin,7680x4320,3,,,12000 МГц,1635 МГц,
Видеокарта PowerColor Radeon HD 5450 650Mhz PCI-E 2.1 512Mb 1334Mhz 64 bit DVI HDMI HDCP,1404,,,,,,,,,,,,,,,,,
