Видеокарта,Цена,комплектация,область применения,особенности,объем видеопамяти,тип памяти,частота памяти,шина обмена с памятью,частота видеопроцессора,разъемы и интерфейсы,тип подключения,поддержка технологий,разъем дополнительного питания,максимальное разрешение,количество поддерживаемых мониторов,техпроцесс
Видеокарта Geforce RTX 3070 ti Zotac 8G6X,57499,Retail,игровая,нет,8192.0,GDDR6X,14000.0,256.0,1665.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 4.0,нет,8 pin,4096x2160,4,8.0
Manli GeForce RTX 2060 SUPER (Видеопамять GeForce RTX 2060 SUPER 8 ГБ Samsung),23999,Retail,игровая,нет,8192.0,GDDR6,14000.0,256.0,1665.0,"выход DVI, выход HDMI",PCI Express 4.0,нет,8 pin,7680x4320,4,8.0
"Видеокарта KFA2 GeForce GTX 1660 (60SRH7DSY91K), Retail",22116,Retail,игровая,необходимость дополнительного питания,6144.0,GDDR5,8000.0,192.0,1800.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan",6 pin,7680x4320,3,12.0
Видеокарта GIGABYTE PCIE16 RX6700XT 12GB GDDR6 GV-R67XTEAGLE-12GD,47840,Retail,игровая,нет,12000.0,GDDR6,16000.0,192.0,2321.0,"выход DisplayPort x 2, выход HDMI x 2",PCI Express 4.0,нет,8 pin + 6 pin,7680x4320,4,7.0
Видеокарта HP Quadro NVS 450 480Mhz PCI-E 2.0 512Mb 1400Mhz 128 bit,16480,Retail,профессиональная,нет,512.0,GDDR3,1400.0,128.0,480.0,выход DisplayPort x 4,PCI Express 2.0,нет,8 pin,2560x1600,4,65.0
Видеокарта PCIE16 RTX3060 12GB LHR PA-RTX3060 DUAL OC PALIT,34990,Retail,игровая,нет,12288.0,GDDR6,16000.0,192.0,1320.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 4.0,нет,16 pin,7680x4320,4,8.0
"Видеокарта ASUS GeForce GT 730 2GB (GT730-SL-2GD3-BRK), Retail",8209,Retail,игровая,нет,2048.0,GDDR3,1800.0,64.0,902.0,"выход DVI, выход HDMI, выход VGA",PCI Express 2.0,нет,8 pin,4096x2160,3,28.0
"Видеокарта Gigabyte GT 1030 OC 2G,",10086,Retail,игровая,нет,2000.0,GDDR5,6008.0,64.0,1265.0,"выход HDMI, PCI-E",PCI Express 3.0,NVIDIA CUDA,Нет,3840x2160 4K UHD,2,16.0
Lenovo Видеокарта NVIDIA Lenovo Gaming GeForce RTX 2080 8gb Blower Graphics Card GPU Reference cooling OEM,48750,Retail,игровая,нет,8192.0,GDDR6,14000.0,256.0,1785.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,нет,8 pin,4096x2160,4,12.0
Видеокарта Manli NVIDIA RTX 3070 8G M2479-N61,59990,Retail,игровая,нет,8000.0,GDDR6,14000.0,256.0,1728.5,выход HDMI,PCI Express 4.0,нет,8 pin,4096x2160,2,8.0
Видеокарта Gainward RTX3060 GHOST OC 12GB GDDR6 192bit 3-DP HDMI RTL,33374,Retail,игровая,нет,12288.0,GDDR6,16000.0,192.0,1920.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 4.0,нет,8 pin,4096x2160,2,8.0
"Видеокарта Sinotex Ninja GTX 750 2GB (NK75NP025F), Retail",7690,Retail,игровая,нет,2048.0,GDDR5,5000.0,128.0,1020.0,"выход DVI, выход HDMI",PCI Express 3.0,нет,8 pin,2560x1600,3,28.0
"Видеокарта GIGABYTE AORUS GeForce RTX 4080 16GB XTREME WATERFORCE (GV-N4080AORUSX W-16GD), Retail",126690,Retail,игровая,необходимость дополнительного питания,16384.0,GDDR6X,22400.0,256.0,2565.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",16 pin,7680x4320,4,5.0
"Видеокарта PowerColor Hellhound Sakura Radeon RX 6650 XT 8GB (AXRX 6650 XT 8GBD6-3DHLV3/OC), Retail",41880,Retail,игровая,необходимость дополнительного питания,8192.0,GDDR6,17500.0,128.0,2689.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка HDCP, поддержка Vulkan",8 pin,7680x4320,4,8.0
Видеокарты ASUS Видеокарта Asus PCI-E GTX1650-4G-LP-BRK NVIDIA GeForce GTX 1650 4096Mb 128 GDDR5 1485/8002 DVIx1 HDMIx1 DPx1 HDCP Ret,28295,Retail,игровая,нет,4096.0,GDDR5,8000.0,128.0,1485.0,выход HDMI,PCI Express 3.0,нет,8 pin,4096x2160,2,12.0
"Видеокарта PNY Quadro P2000 5GB (VCQP2000), Retail",47988,Retail,профессиональная,нет,5120.0,GDDR5,8000.0,160.0,1530.0,"выход DisplayPort, выход DisplayPort x 4",PCI Express 3.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan",8 pin,5120x2880,4,16.0
Видеокарта Palit GTX1650 GP OC 4GB GDDR6 128bit 2-DP HDMI,18900,Retail,игровая,нет,4096.0,GDDR6,12000.0,128.0,1410.0,"выход DisplayPort, выход DisplayPort x 2, выход HDMI",PCI Express 3.0,нет,6 pin,4096x2160,3,12.0
Видеокарта Gigabyte RTX3060Ti EAGLE OC D6X 8GB GDDR6X 256-bit,50329,Retail,игровая,нет,8192.0,GDDR6X,19000.0,256.0,1680.0,"выход DisplayPort, выход HDMI",PCI Express 4.0,нет,8 pin,7680x4320,4,8.0
"Видеокарта Gainward GeForce GTX 750 1020Mhz PCI-E 3.0 2048Mb 5010Mhz 128 bit DVI Mini-HDMI HDCP one slot, Retail",6542,Retail,игровая,нет,2048.0,GDDR5,5010.0,128.0,1020.0,"выход DVI, выход Mini HDMI, выход VGA",PCI Express 3.0,нет,8 pin,4096x2160,2,28.0
Видеокарта RX570 8GB GDDR5 256BIT HDMI 3xDP,17154,Retail,игровая,нет,8192.0,GDDR5,14000.0,256.0,1665.0,выход HDMI,PCI Express 3.0,нет,8 pin,3840x2160 4K UHD,2,8.0
"Видеокарта ZOTAC GeForce RTX 4070 Ti TRINITY 12GB (ZT-D40710D-10P), Retail",98549,Retail,игровая,нет,12288.0,GDDR6X,21000.0,192.0,2610.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка Vulkan",8 pin,7680x4320,4,4.0
Видеокарта MSI PCI-E GTX 1660 SUPER AERO ITX nVidia GeForce GTX 1660SUPER 6144Mb 192bit GDDR6 1530/14000 DVIx1/HDMIx1/DPx1/HDCP Ret,28080,Retail,игровая,нет,6144.0,GDDR6,14000.0,192.0,1530.0,выход HDMI,PCI Express 3.0,нет,8 pin,4096x2160,2,12.0
"Видеокарта INNO3D GEFORCE RTX 3060 ICHILL X3 RED 12GB (C30603-12D6X-1671VA39A), Retail",74000,Retail,игровая,нет,12288.0,GDDR6,16000.0,192.0,1725.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,нет,8 pin,7680x4320,4,8.0
"Видеокарта GIGABYTE GeForce RTX 3070 Ti GAMING 8G (GV-N307TGAMING-8GD), Retail",59829,Retail,игровая,нет,8192.0,GDDR6X,19000.0,256.0,1770.0,"выход DisplayPort x 2, выход HDMI x 2",PCI Express 4.0,"поддержка CUDA, поддержка трассировки лучей",8 pin + 8 pin,7680x4320,4,8.0
"Видеокарта Colorful GeForce GTX 1650 SUPER NB 4G-V, Retail",20077,Retail,игровая,нет,4096.0,GDDR6,12000.0,128.0,1530.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,нет,6 pin,7680x4320,3,12.0
Видеокарта Colorful RTX3060Ti NB DUO G6X-V 8GB GDDR6X 256-bit 3xDP HDMI,45879,Retail,игровая,нет,8192.0,GDDR6X,14000.0,256.0,1665.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,поддержка CUDA,8 pin,7680x4320,4,8.0
Видеокарта MSI Intel Arc A750 ASTRO 2X 8GB,30313,Retail,игровая,нет,8192.0,GDDR6,16000.0,256.0,2050.0,"выход DisplayPort, выход HDMI",PCI Express 4.0,нет,8 pin + 8 pin,7680x4320,4,6.0
"Видеокарта GIGABYTE GeForce GTX 1650 D6 WINDFORCE 4G (GV-N1656WF2-4GD), Retail",19300,Retail,игровая,нет,4096.0,GDDR6,12000.0,128.0,1590.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,поддержка CUDA,6 pin,7680x4320,3,12.0
"Видеокарта ASUS EKWB GeForce RTX 3070 8GB, Retail",83469,Retail,игровая,"водяное охлаждение, необходимость дополнительного питания",8192.0,GDDR6,14000.0,256.0,1755.0,"выход DisplayPort x 3, выход HDMI, интерфейс USB Type-C",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",12 pin,7680x4320,4,8.0
"Видеокарта MSI GeForce RTX 3060 Ti VENTUS 3X 8GB, Retail",53927,Retail,игровая,нет,8192.0,GDDR6,14000.0,256.0,1665.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,нет,8 pin,7680x4320,4,8.0
"Видеокарта Palit GeForce RTX 4080 GamingPro 16GB, Retail",100350,Retail,игровая,необходимость дополнительного питания,16384.0,GDDR6X,22400.0,256.0,2505.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка Vulkan, поддержка трассировки лучей",16 pin,7680x4320,4,4.0
"Видеокарта AFOX GeForce GT 710 1GB (AF710-1024D3L5), Retail",4226,Retail,игровая,нет,1024.0,GDDR3,1600.0,64.0,954.0,"выход DVI, выход HDMI, выход VGA",PCI Express 3.0,нет,8 pin,2560x1600,2,28.0
"Видеокарта KFA2 GeForce RTX 3050 EX 8GB (35NSL8MD6YEX), Retail",27000,Retail,игровая,необходимость дополнительного питания,8192.0,GDDR6,14000.0,128.0,1822.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin,7680x4320,4,8.0
Графический ускоритель NVidia Tesla P100 16Gb,420000,Retail,профессиональная,нет,16384.0,HBM2,18000.0,256.0,2330.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,нет,8 pin,4096x2160,2,7.0
Видеокарта MSI PCI-E 4.0 RX 6650 XT GAMING X 8G AMD Radeon RX 6650XT 8192Mb 128 GDDR6 2593/17500 HDMIx1 DPx3 HDCP Ret,42714,Retail,игровая,нет,8192.0,GDDR6,14000.0,256.0,2593.0,выход HDMI,PCI Express 3.0,нет,8 pin,4096x2160,2,8.0
Видеокарта Sapphire Radeon RX 460 1090Mhz PCI-E 3.0 2048Mb,6875,Retail,игровая,нет,2048.0,GDDR5,7000.0,128.0,1090.0,выход HDMI,PCI Express 3.0,нет,8 pin,7680x4320,3,14.0
Видеокарта Gainward GeForce RTX 3070 Ti 8 ГБ (GAINWARD RTX 3070Ti 8G),46400,Retail,игровая,необходимость дополнительного питания,8192.0,GDDR6X,19000.0,256.0,1770.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,поддержка CUDA,8 pin + 8 pin,7680x4320,4,8.0
Видеокарта Asus PCI-E 4.0 DUAL-RTX3060TI-O8GD6X NVIDIA GeForce RTX 3060Ti 8192Mb 256 GDDR6 1710/14000 HDMIx2 DPx3 HDCP Ret,45726,Retail,игровая,нет,8192.0,GDDR6X,19000.0,256.0,1710.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,нет,8 pin + 8 pin,7680x4320,4,8.0
Видеокарта Sapphire Radeon HD 6790 840Mhz PCI-E 2.1 1024Mb 4200Mhz 256 bit 2xDVI HDMI HDCP,5250,Retail,игровая,нет,1024.0,GDDR5,1333.0,256.0,755.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 2.1,нет,8 pin,4096x2160,3,40.0
Видеокарта Gigabyte RTX4080 GAMING OC 16GB,136612,Retail,игровая,нет,16384.0,GDDR6X,22400.0,256.0,2535.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,нет,16 pin,7680x4320,4,5.0
Видеокарта Palit RTX4090 GameRock OC 24G GDDR6X 2235/21000 HDMIx1 DPx3 HDCP,197063,Retail,игровая,нет,24576.0,GDDR6X,21000.0,384.0,2282.5,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 4.0,нет,16 pin,4096x2160,2,5.0
Видеокарта Colorful RTX3080Ti 12G Tomahawk OC,92000,Retail,игровая,нет,12288.0,GDDR6X,16000.0,192.0,1920.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 4.0,нет,8 pin,4096x2160,2,8.0
Видеокарта PCIE16 GTX1660TI 6GB GDDR6 GV-N166TOC-6GD 1.0A GIGABYTE,25600,Retail,игровая,нет,6144.0,GDDR6,12000.0,192.0,1536.0,"выход DisplayPort x 3, выход HDMI",PCI Express 3.0,нет,8 pin,7680x4320,4,12.0
"Видеокарта Colorful GeForce GT1030 2G V3-V, Retail",7414,Retail,игровая,нет,2048.0,GDDR5,6000.0,64.0,1228.0,"выход HDMI, выход VGA",PCI Express 3.0,нет,8 pin,4096x2160,2,28.0
"Видеокарта PowerColor Radeon RX 6500 XT ITX 4GB (AXRX 6500 XT 4GBD6-DH), Retail",20085,Retail,игровая,необходимость дополнительного питания,4096.0,GDDR6,18000.0,64.0,2310.0,"выход DisplayPort, выход HDMI",PCI Express 4.0,"поддержка HDCP, поддержка Vulkan",6 pin,7680x4320,2,6.0
"Видеокарта PowerColor Radeon RX 6500 XT ITX 4GB (AXRX 6500 XT 4GBD6-DH), Retail",20085,Retail,игровая,необходимость дополнительного питания,4096.0,GDDR6,18000.0,64.0,2310.0,"выход DisplayPort, выход HDMI",PCI Express 4.0,"поддержка HDCP, поддержка Vulkan",6 pin,7680x4320,2,6.0
"Видеокарта GIGABYTE GeForce RTX 3070 Gaming OC 8G (GV-N3070GAMING OC-8GD) (rev. 1.0), Retail",50256,Retail,игровая,нет,8192.0,GDDR6,14000.0,256.0,1815.0,"выход DisplayPort x 2, выход HDMI, выход HDMI x 2, интерфейс USB Type-C",PCI Express 4.0,нет,8 pin + 6 pin,7680x4320,4,8.0
Видеокарта ASRock RX7900XT Phantom Gaming 20G OC,105559,Retail,игровая,нет,20000.0,GDDR6,20000.0,320.0,2075.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,нет,8 pin,7680x4320,4,5.0
"Видеокарта ASUS Dual GeForce GTX 1650 OC 4GB (DUAL-GTX1650-O4G), Retail",17500,Retail,игровая,нет,4096.0,GDDR5,8002.0,128.0,1485.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,"поддержка CUDA, поддержка HDCP",8 pin,7680x4320,3,12.0
Видеокарта KFA2 GeForce RTX 4080 SG PCI-E 16GB GDDR6X 256-bit w/HDMI/DP/DP/DP/CoolingFan 48NZM6MD6LSK,110085,Retail,игровая,нет,16384.0,GDDR6X,22400.0,256.0,2580.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,поддержка CUDA,16 pin,7680x4320,4,7.0
"Видеокарта PNY Quadro T400 2GB (VCNT400-PB), Retail",17529,Retail,профессиональная,низкопрофильная карта (Low Profile),2048.0,GDDR6,4000.0,64.0,1070.0,выход Mini DisplayPort x 3,PCI Express 3.0,"поддержка CUDA, поддержка HDCP",8 pin,7680x4320,3,14.0
"Видеокарта AFOX GeForce GT 610 1 GB (AF610-1024D3L7-V6), Retail",3560,Retail,игровая,низкопрофильная карта (Low Profile),1024.0,GDDR3,1333.0,64.0,810.0,"выход DVI, выход HDMI, выход VGA",PCI Express 3.0,"поддержка CUDA, поддержка HDCP",8 pin,2560x1600,3,40.0
"Видеокарта AFOX GeForce GTX 750Ti 4GBb (AF750TI-4096D5H1), Retail",13249,Retail,игровая,нет,4096.0,GDDR5,5400.0,128.0,1020.0,"выход DVI, выход HDMI, выход VGA",PCI Express 3.0,нет,6 pin,4096x2160,3,28.0
"Видеокарта GIGABYTE GeForce RTX 4090 AERO OC 24G (GV-N4090AERO OC-24GD), Retail",166597,Retail,игровая,необходимость дополнительного питания,24576.0,GDDR6X,21000.0,384.0,2535.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка Vulkan",16 pin,7680x4320,4,4.0
"Видеокарта ASUS ROG Strix GeForce RTX 3080 V2 OC Edition 10GB (ROG-STRIX-RTX3080-O10G-V2-GAMING), Retail",110000,Retail,игровая,нет,10240.0,GDDR6X,19000.0,320.0,1905.0,"выход DisplayPort x 3, выход HDMI x 2, интерфейс USB Type-C",PCI Express 4.0,нет,8 pin+8 pin+8 pin,7680x4320,4,8.0
"Видеокарта AFOX Radeon RX 560 4GB (AFRX560-4096D5H4), Retail",9500,Retail,игровая,нет,4096.0,GDDR5,7000.0,128.0,1275.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,нет,8 pin,7680x4320,3,14.0
Видеокарта MSI Intel Arc A310 LP 2X 4GB OEM,12123,OEM,игровая,низкопрофильная карта (Low Profile),4096.0,GDDR6,15500.0,64.0,2000.0,"выход DisplayPort, выход HDMI",PCI Express 4.0,поддержка HDCP,8 pin,7680x4320,2,12.0
Zotac Видеокарта Zotac GeForce GTX 750 2GB GDDR5 (ZT-70704-10M),6000,Retail,игровая,нет,2048.0,GDDR5,5400.0,128.0,1033.0,выход DVI x 2,PCI Express 3.0,нет,8 pin,4096x2160,2,28.0
Видеокарта AFOX Pcie16 GT730 1GB DDR3 AF730-1024D3L3-V3,4990,Retail,игровая,нет,1024.0,GDDR3,1333.0,128.0,1336.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,нет,8 pin,2560x1600,2,40.0
"Видеокарта Palit GeForce RTX 3060 StormX 12G (NE63060019K9-190AF), Retail",42786,Retail,игровая,необходимость дополнительного питания,12288.0,GDDR6,15000.0,192.0,1320.0,"выход DisplayPort x 3, выход HDMI, интерфейс USB Type-C",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin,7680x4320,4,8.0
"Видеокарта NVIDIA T1000 8GB, Retail",40400,Retail,игровая,нет,8192.0,GDDR6,14000.0,128.0,1665.0,выход Mini DisplayPort x 4,PCI Express 3.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan",8 pin,7680x4320,4,8.0
Видеокарта 12 Гб Sapphire Radeon RX 6700 XT Gaming OC Pulse (11306-05-20G),49581,Retail,игровая,нет,12288.0,GDDR6,16000.0,192.0,2560.0,"выход DisplayPort, выход DisplayPort x 3",PCI Express 4.0,нет,8 pin,7680x4320,4,7.0
Видеокарта INNO3D RTX3060 TWIN X2 8GB GDDR6 128-bit,36621,Retail,игровая,необходимость дополнительного питания,8192.0,GDDR6,15000.0,128.0,1320.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,поддержка CUDA,8 pin,7680x4320,4,8.0
Видеокарта новая Geforce RTX 2060 SUPER 8 ГБ iCraft,28000,Retail,игровая,нет,8000.0,GDDR6,1750.0,256.0,1460.0,"выход DVI, выход HDMI, DP",PCI Express 4.0,"поддержка CUDA, поддержка трассировки лучей",8 pin,4096x2160,3,12.0
Видеокарта AFOX Radeon R9 370 4 ГБ (AFR9370-4096D5H9),10750,Retail,игровая,нет,4096.0,GDDR5,5400.0,256.0,860.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,поддержка HDCP,6 pin,3840x2160,3,28.0
"Видеокарта ASUS Cerberus GeForce GTX 1050 Ti Advanced 4GB (CERBERUS-GTX1050TI-A4G), Retail",18950,Retail,игровая,нет,4096.0,GDDR5,7008.0,128.0,1303.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,нет,8 pin,7680x4320,3,14.0
"Видеокарта NVIDIA RTX A4000 16GB, OEM",92000,OEM,профессиональная,необходимость дополнительного питания,16384.0,GDDR6,18000.0,256.0,2330.0,выход DisplayPort x 4,PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan",6 pin,7680x4320,4,7.0
"Видеокарта INNO3D GeForce RTX 3050 TWIN X2 8GB (N30502-08D6-1190VA42), Retail",26724,Retail,игровая,необходимость дополнительного питания,8192.0,GDDR6,14000.0,128.0,1777.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin,7680x4320,4,8.0
"Видеокарта GIGABYTE AORUS GeForce RTX 3080 MASTER 10G (GV-N3080AORUS M-10GD) (rev. 2.0), Retail",100090,Retail,игровая,необходимость дополнительного питания,10240.0,GDDR6X,19000.0,320.0,1845.0,"выход DisplayPort x 3, выход HDMI x 3",PCI Express 4.0,"поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin+8 pin+8 pin,7680x4320,4,8.0
Видеокарта GIGABYTE AORUS GeForce RTX 3080 XTREME WATERFORCE WB 10G (REV 2.0),90000,Retail,игровая,нет,10240.0,GDDR6X,19000.0,320.0,1755.0,выход HDMI,PCI Express 4.0,нет,8 pin,4096x2160,2,8.0
"Видеокарта Matrox M9125 512MB (M9125-E512F), Retail",35500,Retail,игровая,нет,512.0,GDDR2,1600.0,64.0,650.0,"выход DVI, выход DVI x 2, PCI",PCI Express 3.0,нет,8 pin,2560x1600,2,47.5
Видеокарта ASUS nVidia GeForce RTX 3070 Dual V2 LHR 8192Mb DUAL-RTX3070-8G-V2,53300,Retail,игровая,нет,8192.0,GDDR6,14000.0,256.0,1755.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,поддержка трассировки лучей,8 pin + 8 pin,7680x4320,2,8.0
"Видеокарта Colorful GeForce RTX 4090 NB EX-V 24GB, Retail",170940,Retail,игровая,необходимость дополнительного питания,24576.0,GDDR6X,21000.0,384.0,2565.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка трассировки лучей",16 pin,7680x4320,4,4.0
"Видеокарта ASUS Dual Radeon RX 6600 XT OC Edition 8Gb, DUAL-RX6600XT-O8G, Retail",34700,Retail,игровая,необходимость дополнительного питания,8192.0,GDDR6,16000.0,128.0,2000.0,"выход DisplayPort, выход HDMI",PCI Express 4.0,"поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin,7680x4320,4,7.0
Видеокарта GAINWARD GeForce RTX 3090 24576Mb PHOENIX GS (NED3090019SB-132BX),107057,Retail,игровая,нет,24576.0,GDDR6X,19500.0,384.0,2282.5,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 4.0,поддержка трассировки лучей,8 pin,4096x2160,2,5.0
Видеокарта MSI GeForce RTX 2060 VENTUS OC RU 6Gb,31300,Retail,игровая,нет,6144.0,GDDR6,14000.0,192.0,1365.0,"выход DisplayPort x 3, выход HDMI",PCI Express 3.0,нет,8 pin,7680x4320,2,12.0
Видеокарта Sapphire AMD Radeon RX 7900 XTX 24Gb (21322-01-20G),123744,Retail,игровая,нет,24000.0,GDDR6,20000.0,384.0,2500.0,"выход DisplayPort x 2, выход HDMI",PCI Express 4.0,нет,8 pin + 8 pin,7680x4320,4,5.0
Видеокарта PowerColor Radeon HD 4730 700Mhz PCI-E 2.0 512Mb 3600Mhz,2375,Retail,игровая,нет,512.0,GDDR5,1600.0,128.0,650.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,нет,8 pin,2560x1600,2,55.0
"Видеокарта PowerColor Radeon HD 5750 700Mhz PCI-E 2.1 1024Mb 4000Mhz 128 bit DVI HDMI HDCP, Ресейл",3500,Retail,игровая,нет,1024.0,GDDR5,4000.0,64.0,700.0,выход HDMI,PCI Express 3.0,нет,8 pin,4096x2160,2,40.0
Видеокарта Ninja(Sinotex) RTX3070 (5888SP) 8GB GDDR6 256BIT (HDMI/3xDP),48790,Retail,игровая,нет,8192.0,GDDR6,1750.0,256.0,1500.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,поддержка CUDA,8 pin,7680x4320,4,8.0
"Видеокарта ZOTAC GAMING GeForce RTX 3080 Ti AMP Holo (ZT-A30810F-10P), Retail",109990,Retail,игровая,необходимость дополнительного питания,12288.0,GDDR6X,19000.0,384.0,1710.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin + 8 pin,7680x4320,4,8.0
Видеокарта ASUS GeForce 210 EN210 SILENT/DI/1GD3 /V2 (LP),2200,Retail,игровая,нет,1024.0,GDDR3,1333.0,64.0,589.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,нет,8 pin,2312x1080,2,40.0
Видеокарта MSI PCI-E RTX 2060 VENTUS OC RU NV RTX2060 6144Mb 192 GDDR6 1665/14000/HDMIx1/DPx3/HDCP R,63720,Retail,игровая,нет,6144.0,GDDR6,14000.0,192.0,1710.0,"выход DisplayPort x 3, выход HDMI",PCI Express 3.0,нет,8 pin,7680x4320,2,12.0
Видеокарта 8.0 Гб HIS Radeon RX 580 IceQ X2 [HS-580R8LC],10950,Retail,игровая,нет,8192.0,GDDR5,1350.0,256.0,1257.0,"выход DVI, выход DisplayPort x 3, выход HDMI",PCI Express 3.0,нет,8 pin,7680x4320,4,14.0
Видеокарта PCI-e nVidia GeForce 8600GT 512Mb GDDR3 128bit Asus Silent,1550,Retail,игровая,нет,512.0,GDDR3,1600.0,128.0,650.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 2.0,нет,8 pin,4096x2160,2,47.5
Видеокарта PCI-E Sinotex GeForce GT 210 NK21NP013F 1GB GDDR3 64bit 40nm 700/1333MHz D-Sub/HDMI/DVI-D RTL,2885,Retail,игровая,нет,1024.0,GDDR3,1333.0,64.0,755.0,выход HDMI,PCI Express 3.0,нет,8 pin,4096x2160,2,40.0
"Видеокарта Sinotex Ninja Radeon R7 250 2GB (AKR725025F), Retail",7202,Retail,игровая,нет,2048.0,GDDR5,4000.0,128.0,954.0,"выход DVI, выход HDMI, выход VGA",PCI Express 3.0,"поддержка HDCP, поддержка Vulkan",8 pin,4096x2160,3,28.0
ASUS Видеокарта/ DUAL-RTX3060-O8G-WHITE,33700,Retail,игровая,нет,8192.0,GDDR6,15000.0,192.0,1867.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,нет,8 pin,7680x4320,4,8.0
Видеокарта HIS Radeon HD 5450 650Mhz PCI-E 2.1 512Mb 1000Mhz 64 bit DVI HDMI HDCP,1404,Retail,игровая,нет,512.0,GDDR3,1000.0,64.0,650.0,выход HDMI,PCI Express 2.1,нет,8 pin,2560x1600,2,40.0
Видеокарта GeForce GTX 1060 3GB БУ,14990,Retail,игровая,нет,3072.0,GDDR5,4000.0,192.0,954.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,нет,8 pin,4096x2160,2,12.0
Видеокарта HIS Radeon HD 5450 650Mhz PCI-E 2.1 512Mb 1000Mhz 64 bit DVI HDMI HDCP,1404,Retail,игровая,нет,512.0,GDDR3,1000.0,64.0,650.0,выход HDMI,PCI Express 2.1,нет,8 pin,2560x1600,2,40.0
Видеокарта GeForce GTX 1060 3GB БУ,14990,Retail,игровая,нет,3072.0,GDDR5,4000.0,192.0,954.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,нет,8 pin,4096x2160,2,12.0
"Видеокарта AFOX GeForce RTX 3070 8GB (AF3070-8192D6H2), Retail",50281,Retail,игровая,нет,8192.0,GDDR6,14000.0,256.0,1500.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP",12 pin,7680x4320,4,8.0
